date,AIG,BAC,BCS,C,CS,GS,JPM,LFC,MET,MS,RBS,SAN,TD,V,WFC
20100708,0.010983,0.010197,0.02614,0.017949,0.020758,-0.002724,0.000262,0.002089,0.021762,0.010438,0.018004,0.004897,0.002807,0.003475,-0.00075
20100709,-0.009192,0.016824,-0.00271,0.017632,0.000946,0.019194,0.018082,0.008191,0.016734,0.020661,-0.000737,0.014077,0.01886,0.030634,0.013514
20100712,0.068035,0.006618,-0.011413,0.017327,0.011812,-0.005867,0.008752,-0.031462,-0.013217,-0.005668,0.001475,-0.018954,-0.000289,-0.011243,0.002222
20100713,-0.012109,0.030243,0.046729,0.046229,0.012841,0.021858,0.032917,0.003813,0.034369,0.044788,0.036819,0.042993,0.015044,0.001046,0.03252
20100714,-0.003997,0,0.005252,-0.02093,-0.008529,-0.008485,-0.003211,-0.017016,-0.02321,-0.004676,0.003551,0.009392,-0.002423,-0.004047,-0.010021
20100715,-0.046549,-0.017869,-0.015674,-0.011877,-0.003953,0.044297,0.002726,-0.0051,-0.022261,0.001958,0.001415,0.004135,0,-0.01311,0.005423
20100716,-0.007015,-0.091618,-0.081741,-0.0625,-0.05112,0.006542,-0.036085,-0.010875,-0.033001,-0.033216,-0.066431,-0.032175,-0.027143,-0.050877,-0.056455
20100719,0.025996,-0.026466,0.009249,0.020513,0.016482,-0.003352,0.001026,0.004869,-0.010053,0.001617,0.009841,0.001064,-0.006167,-0.003219,-0.008384
20100720,-0.027541,0.011756,0.015464,0.002513,0.010649,0.022172,0.015113,0.023914,0.010422,0.017756,0.029235,0.025106,0.013593,0.033418,-0.004228
20100721,0.033418,-0.029775,-0.019741,-0.012531,0.005508,-0.012894,-0.030532,-0.006259,-0.024332,0.062649,-0.01748,-0.004276,-0.018805,-0.016848,0.005789
20100722,0.007673,0.022455,0.074223,0.038071,0.003334,-0.002993,0.024206,0.027035,0.065058,-0.000373,0.013343,0.029021,0.016788,0.029022,0.051036
20100723,0.052488,0.005857,0.011248,-0.017115,0.013292,0.005664,0.012198,-0.000449,0.006363,0.003733,0.041697,0.001265,0.012566,0.015176,0.001095
20100726,0.011628,0.02984,0.048729,0.032338,0.01101,0.005564,0.012553,0.004489,0.007587,0.004091,0.023174,0.021473,0.020491,0.006482,0.01787
20100727,-0.003065,0.002827,0.068687,0.00241,0.044022,-0.006545,0.008926,-0.002383,-0.005271,0,0.083047,0.000247,0.006787,0.006966,0.017198
20100728,-0.001537,-0.014094,-0.010397,-0.016827,0.007545,-0.000204,-0.009093,-0.001792,-0.008327,0.002222,-0.028517,0.034862,0.005899,-0.018666,-0.011272
20100729,-0.01283,0.002859,-0.002388,0.007335,0.008811,0.036549,-0.002728,0.002842,0.022901,-0.00074,0.01696,-0.000717,-0.002932,-0.042564,-0.013538
20100730,0.040811,0.000713,-0.000957,-0.004854,-0.009389,-0.011535,0.001741,0.001939,0.046269,0,0.010904,-0.007651,-0.003081,0.019033,0.001445
20100802,-0.011239,0.02849,0.046957,0.021951,0.044523,0.01273,0.033764,0.019056,0.01593,0.025565,0.050761,0.053367,0.016435,-0.015269,0.030292
20100803,0.010861,-0.006925,-0.001831,-0.01432,0.001055,0.002946,-0.013449,-0.01198,-0.024573,-0.006864,-0.00785,-0.019899,-0.005804,0.01066,-0.015751
20100804,-0.002998,-0.01046,-0.004585,0.002421,-0.006113,0.02102,0.005112,0.000148,0,0.013823,0.015216,0.003734,0.012649,-0.007534,-0.004979
20100805,0.025815,-0.01198,-0.041916,-0.009662,0.020361,-0.003133,-0.000484,0.000148,0.004079,-0.001076,-0.008393,-0.006278,-0.010981,-0.013112,-0.00179
20100806,0.017347,-0.00428,0.007212,-0.009756,0.001871,-0.004746,-0.020112,-0.008869,-0.010275,-0.006825,0.001814,0.011231,-0.012908,0.008951,-0.004663
20100809,-0.034822,-0.003582,0.018616,0.004926,-0.011411,0.001418,-0.015331,0.007755,0.021729,-0.007233,-0.030779,0.008214,0.008155,0.036041,0.017297
20100810,-0.058472,-0.020129,-0.002343,-0.019608,-0.014061,-0.009653,-0.016323,-0.019091,0.002363,-0.004372,-0.033624,-0.003787,-0.007113,0.007091,-0.016295
20100811,-0.019556,-0.032282,-0.081093,-0.0375,-0.048106,-0.030214,-0.035742,-0.019463,-0.041726,-0.032931,-0.074742,-0.037203,-0.036101,-0.021722,-0.052935
20100812,-0.01159,-0.009666,-0.013846,0.005195,-0.003131,0.001139,0.001059,-0.004154,-0.019434,-0.011729,0.003482,0.014954,-0.010493,-0.00721,-0.011407
20100813,-0.019362,0.012823,0.024961,0.002584,-0.005159,-0.008968,-0.008199,-0.007262,-0.007526,-0.008423,0.013185,-0.005658,0.003829,-0.010414,-0.006154
