Date,Lag Ret,Ret
2009-10-21,0.001366,0.030992
2009-10-22,-0.00614,0.001366
2009-10-23,-0.007159,-0.00614
2009-10-26,-0.025237,-0.007159
2009-10-27,-0.025181,-0.025237
2009-10-28,0.02053,-0.025181
2009-10-29,-0.03998,0.02053
2009-10-30,0.004297,-0.03998
2009-11-02,-0.002958,0.004297
2009-11-03,0.010914,-0.002958
2009-11-04,0.016876,0.010914
2009-11-05,0.001597,0.016876
2009-11-06,0.036637,0.001597
2009-11-09,0.007545,0.036637
2009-11-10,0.00133,0.007545
2009-11-11,-0.006199,0.00133
2009-11-12,0.012179,-0.006199
2009-11-13,0.010663,0.012179
2009-11-16,0.001791,0.010663
2009-11-17,-0.005024,0.001791
2009-11-18,-0.026462,-0.005024
2009-11-19,-0.002942,-0.026462
2009-11-20,0.029812,-0.002942
2009-11-23,-0.006994,0.029812
2009-11-24,-0.001223,-0.006994
2009-11-25,-0.017631,-0.001223
2009-11-27,-0.00339,-0.017631
2009-11-30,-0.014707,-0.00339
2009-12-01,-0.003757,-0.014707
2009-12-02,0.001274,-0.003757
2009-12-03,-0.016083,0.001274
2009-12-04,-0.022605,-0.016083
2009-12-07,0.004869,-0.022605
2009-12-08,0.041765,0.004869
2009-12-09,-0.006926,0.041765
2009-12-10,-0.00896,-0.006926
2009-12-11,0.011866,-0.00896
2009-12-14,-0.014265,0.011866
2009-12-15,0.004429,-0.014265
2009-12-16,-0.016254,0.004429
2009-12-17,0.018607,-0.016254
2009-12-18,0.014327,0.018607
2009-12-21,0.010745,0.014327
2009-12-22,0.008684,0.010745
2009-12-23,0.034339,0.008684
2009-12-24,0.012294,0.034339
2009-12-28,-0.011861,0.012294
2009-12-29,0.012147,-0.011861
2009-12-30,-0.00429,0.012147
2009-12-31,0.015555,-0.00429
2010-01-04,0.001729,0.015555
2010-01-05,-0.015906,0.001729
2010-01-06,-0.001849,-0.015906
2010-01-07,0.006648,-0.001849
2010-01-08,-0.008822,0.006648
2010-01-11,-0.011375,-0.008822
2010-01-12,0.014105,-0.011375
2010-01-13,-0.005792,0.014105
2010-01-14,-0.016712,-0.005792
2010-01-15,0.044238,-0.016712
2010-01-19,-0.015416,0.044238
2010-01-20,-0.017254,-0.015416
2010-01-21,-0.049608,-0.017254
2010-01-22,0.026928,-0.049608
2010-01-25,0.014108,0.026928
2010-01-26,0.00944,0.014108
2010-01-27,-0.04134,0.00944
2010-01-28,-0.036264,-0.04134
2010-01-29,0.013886,-0.036264
2010-02-01,0.005803,0.013886
2010-02-02,0.017206,0.005803
