Date,Lead_GOOG,AMZN,CSCO,EBAY,FB,GOOG,IBM,INTC,MSFT,AAPL
2015-07-17,-0.014727,-0.181703498,-0.571693722,-0.278638026,0.372183965,2.533720734,-0.313207901,-0.748822102,-0.495009407,-0.316830043
2015-07-20,-0.001086,0.087619941,-0.745335506,1.71277846,1.159943078,-1.239195479,-0.249637475,-1.12513084,-0.127852992,0.526810812
2015-07-21,-3.02E-04,0.413023394,0.083947528,0.475854706,0.668704278,0.368916314,-2.510309774,-0.230459355,0.807433812,-0.077110903
2015-07-22,-0.026914,0.967829289,0.211494934,0.592638787,0.044154016,0.912501956,-0.147323855,0.672944308,-1.449425147,-1.804814288
2015-07-23,-0.03216,-0.723139904,1.360787838,0.096941995,-1.002887468,-1.72932535,0.745552224,0.121537485,1.017983849,0.112549331
2015-07-24,0.005934,2.451699305,0.225727638,-0.329361599,0.275968789,-0.994785382,-0.467293024,-0.638568471,-0.240691397,-0.282695859
2015-07-27,0.00118,0.823462475,-0.05342981,-0.175702952,-1.89843669,1.005991015,0.150750392,1.375328076,-0.569796757,-0.658165747
2015-07-28,0.006258,-1.687993618,-0.575718155,0.7191533,0.730908878,-0.446077198,0.101161451,1.788251733,-0.599888503,-0.029797888
2015-07-29,0.001044,-0.378499217,-0.238548606,0.801121215,1.18858778,-0.299849287,-0.269006177,-0.882141495,1.588648615,-1.510312828
2015-07-30,-0.011034,1.539295149,-0.164004065,-1.071930903,-1.552768807,0.263459426,0.090133047,-0.157074756,1.359226739,-0.30633583
2015-07-31,0.008951,0.384649363,1.162598398,-0.726127571,-1.27485948,-1.047668262,1.4750225,0.749312973,-0.006640479,-0.716287442
2015-08-03,-0.003105,0.054094199,0.052186352,0.88288015,0.355187096,1.011486361,-1.520659812,0.534784847,0.439479232,-1.809438426
2015-08-04,0.023091,-0.11400351,-0.560231622,0.554953047,0.27160668,0.097696484,-0.202231122,0.549554505,1.539878594,-2.137223055
2015-08-05,-0.001709,-0.034123215,-0.155274156,-0.535769262,1.785575502,1.529129684,-0.927278091,-0.232486143,-1.050399908,-0.379374412
2015-08-06,-0.011483,-0.817593799,0.713006418,-0.81079797,-0.769894773,0.765962595,0.757756311,0.500797038,-1.602063275,1.262827456
2015-08-07,-0.002471,-1.155942512,0.108793211,1.981052097,-0.652251432,-0.987654845,-0.541622214,-0.167076683,0.659712654,0.754989724
2015-08-10,0.042684,-0.682531285,0.31368251,-0.589582007,-1.007086849,-1.074574773,-0.079204578,1.133123956,0.082996513,1.903176512
2015-08-11,-0.001846,0.675913996,-0.360063578,-0.290074588,0.198443096,2.084320434,0.1093662,-0.464207819,-0.340585326,-1.613112414
2015-08-12,-0.004715,-0.847680921,-1.011800718,-1.05295278,0.254632624,-0.714211473,0.021641127,1.576627356,0.379554166,1.394190618
2015-08-13,0.001021,0.585204443,2.209296287,-0.006114551,-0.56057034,-0.307729454,-0.478476206,-1.462022729,0.031577888,-0.011165338
2015-08-14,0.005707,-0.860834537,1.425794982,0.895512254,1.167525532,-1.574081987,-0.610868651,-0.37865521,-0.212011285,0.147618902
2015-08-17,-0.007172,0.741774878,-1.699287467,-0.285097173,-1.373417916,0.523484057,0.155836359,-0.109977105,0.715315384,1.331368985
2015-08-18,0.00727,0.394557986,-1.473376285,-1.323838479,1.690011533,-0.254170796,0.247119626,-0.127631466,0.954632893,-0.107305012
2015-08-19,-0.021289,0.596030595,-0.77181632,-0.351799348,1.210900801,1.871692558,-0.468597339,-1.124603228,-0.547678126,-0.414129593
2015-08-20,-0.053105,-0.455554955,-0.036281771,-0.543598847,-1.991760083,0.489461076,1.617083443,-0.203938896,0.568292083,0.55629795
2015-08-21,-0.03734,-0.002217413,1.376090099,0.885618049,-0.572652549,-0.805185749,1.112021201,0.412037691,-1.05168184,-1.35402949
2015-08-24,-0.012805,-1.775030724,-0.781143251,0.296280263,-0.628973671,-0.028020045,0.053738633,1.726646966,0.318360575,0.818141255
2015-08-25,0.079992,0.843477276,-1.011512658,1.197877112,1.137386925,-0.385385034,-0.684330219,-0.491896208,-1.419646139,0.814028944
2015-08-26,0.014301,1.314417222,-0.814856855,-1.216830405,-0.299787071,1.746485049,-0.976630926,0.032636804,0.037768086,0.176798096
2015-08-27,-0.011339,1.205285478,-0.575121151,1.248618126,0.538782804,-1.104865545,-1.299696224,-0.984731042,0.398034816,0.573692737
2015-08-28,-0.019242,-0.329339384,-0.851106493,0.230827339,1.015906082,-1.286631849,-0.605960485,2.004044139,-0.205507376,0.027768026
