Date,AIG,BAC,BCS,C,CS,GS,JPM,LFC,MET,MS,RBS,SAN,TD,V,WFC
2010-05-21,-0.039766,0.563257,0.710213,-0.349249,-0.187893,-0.337653,1.592934,-0.714479,0.346575,1.490467,0.032503,-1.670261,-0.954505,-1.418413,0.896504
2010-05-24,-0.001158,-0.856256,0.674167,1.636685,-0.68102,-0.359311,-0.790015,1.002983,-0.03105,-1.592955,0.216145,0.247239,0.468171,1.454398,-1.38918
2010-05-25,-0.012757,0.128486,-0.73822,-0.231016,0.278156,2.410748,0.278709,-0.250148,0.72495,0.629046,-1.42782,-0.896871,0.452678,-1.534797,0.1761
2010-05-26,0.070778,-0.053815,0.093807,1.283363,-1.764308,-0.920972,-0.221625,-0.820869,0.083803,0.980972,1.01557,0.764927,0.934166,0.373986,-1.749004
2010-05-27,-0.029621,-0.012186,1.656058,-0.241024,0.389157,-0.540357,-0.197821,-0.170941,0.445182,-0.182218,1.684534,0.484317,-1.283103,-2.17204,0.140442
2010-05-28,-0.031939,-0.832311,-1.298493,0.752501,-1.048157,2.065535,-0.00406,1.584498,-0.158937,0.111937,-1.245274,-0.188776,0.21915,0.524254,-0.481867
2010-06-01,0.02365,-0.056899,0.990387,-1.026963,-0.869514,0.212711,-0.859834,-0.435222,0.277694,-1.958416,1.980925,0.988384,-0.097513,0.574343,0.279919
2010-06-02,0.003993,0.290489,-1.01338,-0.486758,0.481872,-0.302404,0.050373,0.221272,1.219758,0.986068,-1.50392,1.584918,-0.148508,-1.928591,0.548812
2010-06-03,-0.012784,-0.072075,0.203855,1.448131,0.14809,-0.113973,-0.704837,-0.767086,-0.073671,-0.780952,-0.164051,-1.255898,0.13981,2.656394,-0.663737
2010-06-04,-0.019281,0.351966,-1.229804,-0.260697,-0.928411,1.090234,-0.035837,1.007235,-1.453336,0.222019,-1.544263,1.486939,0.101816,1.208931,-0.016792
2010-06-07,0.006749,-1.395237,0.305007,-1.882559,1.780648,-0.644938,-0.544602,0.713359,0.145187,-0.801852,0.465254,-0.150352,0.801987,1.215638,-0.007539
2010-06-08,-0.002623,1.503244,-1.037455,0.509767,0.427323,-1.899901,1.092886,-0.310949,0.951613,-0.3465,-1.69633,0.493685,-0.163074,0.368495,0.107197
2010-06-09,0.03156,-0.826728,-0.342433,2.623894,-0.192053,-0.050807,-0.634792,1.288686,0.306789,-0.663323,-0.944912,-0.130649,0.002646,0.696188,-1.132506
2010-06-10,-0.006232,-0.071972,1.396111,-1.02964,0.216992,-2.317891,-0.005666,-0.664892,0.642617,-0.574976,1.602698,-0.244824,-0.105448,0.767216,0.389672
2010-06-11,0.057298,0.574405,-0.181412,-0.474055,1.866943,0.938305,-0.481077,0.216639,0.668133,1.089321,-1.836964,-0.221254,0.100587,-1.402545,-0.857027
