Date,SPY_lead,SPY,JNJ,^IXIC
3/22/1994,-0.000664553,0.002664622,-0.009539587,-0.00120474
3/23/1994,-0.01205647,-0.000664553,-0.016103303,0.001468122
3/24/1994,-0.009478513,-0.01205647,0.003241686,-0.013672837
3/25/1994,0.001359414,-0.009478513,0,-0.004114291
3/28/1994,-0.019898688,0.001359414,0.006451486,-0.01407525
3/29/1994,-0.013957,-0.019898688,-0.022765132,-0.022530256
3/30/1994,0.002807429,-0.013957,-0.023295295,-0.013838383
3/31/1994,-0.015537207,0.002807429,0.016695127,-0.001948375
4/4/1994,0.020431339,-0.015537207,-0.023451937,-0.021824752
4/5/1994,0,0.020431339,0.00675681,0.031848845
4/6/1994,0.004868479,0,-0.010152599,-0.00030638
4/7/1994,-0.007662044,0.004868479,0.010152599,0.00591016
4/8/1994,0.004187323,-0.007662044,0.006711462,-0.008591112
4/11/1994,-0.001393758,0.004187323,0.036128513,-0.000801749
4/12/1994,-0.005244431,-0.001393758,0.01917017,-0.011954469
4/13/1994,0.000350299,-0.005244431,0.006309022,-0.016146493
4/14/1994,0,0.000350299,-0.019047747,-9.62501E-05
4/15/1994,-0.00668034,0,0.006389123,0.000907005
4/18/1994,0.001409485,-0.00668034,-0.009600116,-0.010383765
4/19/1994,-0.001055813,0.001409485,0.037859575,-0.010605048
4/20/1994,0.013309575,-0.001055813,0.003091206,-0.010335838
4/21/1994,-0.001044909,0.013309575,0.009216694,0.018564517
4/22/1994,0.010396023,-0.001044909,-0.015408861,0.005300794
4/25/1994,-0.001034531,0.010396023,-0.003109753,0.011339349
4/26/1994,-0.007272971,-0.001034531,0.003109753,0.004655313
4/28/1994,0.003123051,-0.007272971,0.033590761,-0.003438191
4/29/1994,0.006218831,0.003123051,-0.006023645,0.002934128
5/2/1994,-0.00103438,0.006218831,0.014993009,0.009277616
5/3/1994,-0.001724131,-0.00103438,-0.008969364,-0.001770208
5/4/1994,-0.00138237,-0.001724131,0.002998681,0.001257028
5/5/1994,-0.009729506,-0.00138237,-0.009022326,0.000337644
5/6/1994,-0.008768869,-0.009729506,-0.015221226,-0.01043847
5/9/1994,0.007721139,-0.008768869,0,-0.013600741
5/10/1994,-0.009130625,0.007721139,0.021244871,0.002817729
5/11/1994,0.00492741,-0.009130625,0.024849486,-0.011095814
5/12/1994,0,0.00492741,-0.008889351,0.003633537
5/13/1994,0.000349889,0,0.011834566,-0.003745143
5/16/1994,0.014630562,0.000349889,0.005865173,-0.007012774
5/17/1994,0.007234633,0.014630562,0.011628143,-0.000547906
5/18/1994,0.00479342,0.007234633,0,0.014483104
5/19/1994,-0.003763502,0.00479342,0.002885874,0.007466135
5/20/1994,-0.001717798,-0.003763502,-0.002885874,-0.00083904
5/23/1994,0.004114288,-0.001717798,0.011494326,-0.002411051
5/24/1994,0.002733203,0.004114288,-0.002860634,0.008953465
5/25/1994,0.000682447,0.002733203,0.008558397,0.000819979
5/26/1994,0.001023336,0.000682447,0.002837062,-0.000587537
5/27/1994,-0.001363187,0.001023336,0.008462292,0.00204809
5/31/1994,0.004423338,-0.001363187,-0.00563341,0.002792272
6/1/1994,-0.00102004,0.004423338,-0.005665944,0.000448787
6/2/1994,0.005760896,-0.00102004,-0.005697763,0.005396523
6/3/1994,-0.000336564,0.005760896,0,0.003886966
6/6/1994,-0.001353879,-0.000336564,-0.023122469,0.001413355
6/7/1994,-0.008157778,-0.001353879,0.017391586,-0.005570826
6/8/1994,0.005446287,-0.008157778,-0.002877569,-0.012946985
6/9/1994,0.001695029,0.005446287,0.011461858,-0.001247675
6/10/1994,0.001354218,0.001695029,-0.011461858,0.007340454
6/13/1994,0.007754144,0.001354218,0.005747819,-0.00347896
6/14/1994,-0.004037449,0.007754144,0.002860634,0.005832307
6/15/1994,0.002022025,-0.004037449,-0.008608453,-0.000190177
6/16/1994,-0.005597547,0.002022025,0.008608453,-0.001183098
6/17/1994,-0.008552924,-0.005597547,-0.002860634,-0.007675949
6/20/1994,-0.008625144,-0.008552924,0,-0.014501014
6/21/1994,0.003805305,-0.008625144,0.005714039,-0.01409342
6/22/1994,-0.005884626,0.003805305,-0.011461858,0.005557424
6/23/1994,-0.021053352,-0.005884626,-0.002885874,-0.016822834
6/24/1994,0.017225785,-0.021053352,-0.01455627,-0.010124561
6/27/1994,-0.004893625,0.017225785,0.002928127,0.012732297
6/28/1994,0.003150022,-0.004893625,0.011628143,-0.000896977
6/29/1994,-0.006305757,0.003150022,0.005763443,0.002787965
6/30/1994,0.002106616,-0.006305757,-0.014471532,0.002766035
7/1/1994,0.005243901,0.002106616,0,0.001259836
7/5/1994,-0.001396341,0.005243901,-0.002920054,-0.004622607
7/6/1994,0.004182743,-0.001396341,-0.008810389,-0.003687951
7/7/1994,-0.000347505,0.004182743,0.002945216,0.007857818
7/8/1994,-0.003483657,-0.000347505,0.005865173,0.001315417
7/11/1994,0.001395405,-0.003483657,0.005830815,-0.000890913
7/12/1994,0.001741685,0.001395405,-0.008758941,0.003897168
7/13/1994,0.010732947,0.001741685,-0.005882262,0.013660617
7/14/1994,0.0003428,0.010732947,0.014641203,0.003067539
7/15/1994,0.001719084,0.0003428,0.017291655,-0.000277234
7/18/1994,-0.002061884,0.001719084,-0.002860634,0.001745191
7/19/1994,-0.004488781,-0.002061884,0,-0.004577158
7/20/1994,0.002074538,-0.004488781,0.025460667,-0.009147515
7/21/1994,0.001723894,0.002074538,0.035668798,0.003165725
7/22/1994,0.001377181,0.001723894,-0.021799279,0.002304887
7/25/1994,-0.001033367,0.001377181,0.029853087,0.000279042
7/26/1994,0,-0.001033367,-0.002677694,-0.001703313
7/27/1994,0.002065365,0,0.015958221,-0.00494467
7/28/1994,0.009919508,0.002065365,-0.007947278,0.000421166
7/29/1994,0.004755234,0.009919508,0,0.013565032
8/1/1994,0.001353936,0.004755234,0,0.00371802
8/2/1994,0.000337268,0.001353936,0.002656068,-6.89656E-05
8/3/1994,-0.005764813,0.000337268,0.018397673,-0.001532612
8/4/1994,-0.003408295,-0.005764813,0.010362316,-0.004861956
8/5/1994,0.002386752,-0.003408295,-0.012970187,-0.002098913
8/8/1994,0.00170037,0.002386752,-0.005235233,0.002501479
8/9/1994,0.003732907,0.00170037,0.005235233,0.0029659
8/10/1994,-0.003732907,0.003732907,0.019046488,0.007706115
8/11/1994,0.007788123,-0.003732907,-0.015584678,0
8/12/1994,-0.000336921,0.007788123,0.01815858,0.004671812
8/15/1994,0.007060062,-0.000336921,0.017834718,0.001748078
8/16/1994,-0.000672004,0.007060062,0,0.003568507
8/17/1994,-0.003356579,-0.000672004,-0.00506379,0.00967415
8/18/1994,-0.00067376,-0.003356579,-0.02310681,-0.000659995
8/19/1994,-0.001008797,-0.00067376,0.018018352,0.000350276
8/22/1994,0.005711141,-0.001008797,0.002547947,-0.000188608
8/23/1994,0.010662121,0.005711141,-0.010230418,0.00763624
8/24/1994,-0.002654818,0.010662121,0.012770928,0.004987663
8/25/1994,0.014189782,-0.002654818,-0.005088458,0.004088922
8/26/1994,-0.000655928,0.014189782,0.010152247,0.010726596
8/29/1994,0.002619241,-0.000655928,0,0.000353858
8/30/1994,-0.002619241,0.002619241,-0.0076043,0.004249289
8/31/1994,-0.003283656,-0.002619241,0.020151837,-0.001096584
9/1/1994,-0.004286794,-0.003283656,0.007453291,-0.008750042
9/2/1994,0.000331466,-0.004286794,-0.007453291,0.000368821
9/6/1994,-0.000991225,0.000331466,-0.002496917,0.000329227
9/7/1994,0.004946552,-0.000991225,-0.012579104,0.00630029
9/8/1994,-0.010581833,0.004946552,0.010076073,0.006546743
9/9/1994,-0.002998213,-0.010581833,0,-0.007266697
9/12/1994,0.002998213,-0.002998213,-0.010076073,-0.004882693
9/13/1994,0.000995031,0.002998213,0.005050727,0.007628631
9/14/1994,0.012542896,0.000995031,-0.012674491,0.003623434
9/15/1994,-0.007142221,0.012542896,0.017699836,0.01299079
9/16/1994,0.000996787,-0.007142221,0,-0.000963657
9/19/1994,-0.019107407,0.000996787,0,-0.001530914
9/20/1994,0,-0.019107407,-0.010076073,-0.01293214
9/21/1994,-0.002370217,0,0,-0.007895511
9/22/1994,-0.003399001,-0.002370217,-0.007623763,-0.000355021
9/23/1994,0.005093337,-0.003399001,0.007623763,-0.003926456
9/26/1994,-0.000678388,0.005093337,-0.005075816,-0.002418915
9/27/1994,0.007764254,-0.000678388,0.042347493,-0.000344156
9/28/1994,-0.005056821,0.007764254,0.009708433,0.006123915
